ABADAN ,عبادان,Şehir#Şehir#Basra#İran (1847) (Erzurum Antlaşmasıyla İran’a verildi.)#
IŞIKLI ,عشقلی ,Kaza (1530)#Kaza (1841)#Nahiye (1924)#KütahyaAnadolu eyâleti#KarahisarısahibHudavendigâr eyâleti#ÇivrilDenizli#
İBB (İb) ,اِب ,Kaza (1871) TaizzYemen vilâyeti#
İbradi (AYDINKENT) ,ابرادی ,Kaza (1846)#Nahiye (1865)#Nahiye (1924)#Kaza (1990)#AlâiyeKaraman eyâleti#AksekiTekeKonya vilâyeti#AksekiAntalya#Antalya#
İBRAHİMİYE ,ابراهميه ,Müdiriyet Mrk. Ulyâ-yı NilSudan-ı MısrîMısır eyâleti#
İBRAİL (Braila) ,ابراءل ,Kaza (1562)#Sancak (1812)#Büyük EflâkEflâk eyâleti#Silistre eyâleti#
İbrale (YEŞİLDERE) ,ابراله ,Nahiye#Nahiye (1989)#KaramanKonya#MerkezKaraman#
İBRİKTEPE ,ابريق تپه ,Nahiye (1865)#Nahiye (1989)#KeşanEdirneEdirne vilâyeti#İpsalaEdirne#
İBRİM (Kasr-ı İbrim) ,ابريم ,Sancak (1557)#Sancak (1574)#Kaza (16.yy.)#Kaza (17.yy.)#Habeş eyâleti#Mısır eyâleti#KınaMısır eyâleti#AsvanMısır eyâleti#
İÇEL (Mersin) ,ايچ ايل ,"Vilâyet (1933) İçel (Cumhuriyetin ilk yıllarında vilâyetin adı Mersin idi.#1933 yılında merkez Mersin olmak üzere adı İçel oldu. Aynı#tarihe kadar ayrı bir vilâyet ve merkezi Silifke olan “İçil” de#lağvedilerek Silifke, Anamur, Gülnar ve Mut kazaları İçel#iline bağlandı. 2005’te ilin adı yine “Mersin” oldu)#"
"İÇİL (Kilikien) (Ermenek, Silifke) ",ايچ ايل ,Sancak (1483)#Sancak (1571)#Sancak (1608)#Sancak (1846)#Sancak (1870)#Vilâyet (1924)#Kaza (Silifke) (1933)#Karaman eyâleti#Kıbrıs eyâleti#Adana eyâleti#Karaman eyâleti#Adana vilâyeti#İçil#İçel,#,,
İÇİL (Gerger ilçesinin batı b.lümünde idi.) ,ايچ ايل ,Nahiye (1530) GergerGerger-KahtâRum eyâleti#
İÇME ,ايچمه ,Nahiye MerkezElâzığ#
İÇTAHİYE ,ايچتاحيه ,Nahiye (1872)#(Lağvedilmiş.)#MerkezYozgatAnkara vilâyeti#
ÎD ,ايد ,Kaza merkezi (1950) Narman (Namrevan)Erzurum#
İDFU ,ايدفو ,Kasaba AsvanMısır#
İDİL (Hazak) ,ايدل ,Nahiye (1867)#Kaza (1937)#Kaza (1990)#CizreMardinDiyarbakır vilâyeti#Mardin#Şırnak#
İDLİB ,اِدلب ,Kaza (16.yy.)#Kaza#HalepHalep eyâleti#Suriye#
İFTİHAR ,افتخار ,Nahiye (19.yy.) MerkezKerkûkBağdad maa Şehprizor eyâleti#
İĞDELİ ,ايکده لی ,Nahiye (1865)#Köy#KoçkiriSivasSivas vilâyeti#BeypınarıZaraSivas#
İğdir (KUMLUCA) (Sarıkavak) ,اکدير ,Nahiye (1530)#Kaza (1858)#Nahiye (1865)#Nahiye (1914)#Kaza (1958) İlk dönemde#Kardiç ile birlikte kaza.)#MerkezTekeAnadolu eyâleti#TekeKaraman eyâleti#MerkezTekeKonya vilâyeti#FinikeTeke sancağı#Antalya#
İĞDİR ,اکدير ,Nahiye (1865)#Köy#KoçkiriSivasSivas vilâyeti#BeypınarıZaraSivas#
İĞDİR ,اکدير ,Nahiye ZileTokat#
İĞDİR (Samatlar) ,اکدير ,Nahiye AraçKastamonu,#,,
İğik (GEYİKPINAR) (Kolanis) ,ايغيک ,Nahiye MutkiBitlis#
İĞNEADA (İneada) ,ايکنه آطه ,Nahiye DemirköyKırklareli#
İHDİN ,اهدين ,Nahiye (1861) BatrounCebelilübnan sancağı#
İHMİM ,اخميم ,Kasaba SiyûtMısır eyâleti#
İHSANGAZİ (Mergüze) (Antarlı) ,احسان غازی ,Nahiye (1924)#Nahiye (1969)#Kaza ( 1990)#AraçKastamonu#MerkezKastamonu#Kastamonu#
İHSANİYE ,احسانيه ,Köy#Nahiye (1942)#Kaza (1959)#MerkezMerkezAfyon#MerkezAfyon#Afyon#
İhtik (BOZOĞLAK) (Aşağıihtik) ,اختيک ,Nahiye (1865)#Nahiye (1924)#KemahErzincanErzurum vilâyeti#KemahErzincan#
İHTİMAN ,اهتمان ,Kaza (1878)#Kaza (1908)#TatarbazarcığıRumeli-i Şarkî vilâyeti#SofyaBulgaristan#
İHTİYAR ,اختيار ,Nahiye (Köylerinden Menşe#ve Teynelli halen Uzunisa#bucağına bağlı.)#OrduCanikRum eyâleti#
İKİKAPULU (Hasye) ,ايکی قاپولو ,Kaza (17.yy.)#Nahiye (1865)#ŞamŞam eyâleti#HumusHamaSuriye vilâyeti#
İKİZCE ,ايکيزجه ,Nahiye HaymanaAnkara#
İKİZCE (Lâleli maa Beyceli) ,ايکيزجه ,Kasaba#Kaza ( 1990)#ÇaybaşıÜnyeOrdu#Ordu#
İKİZDERE (Kura-yı Seb‘a) (Çağrankaya) ,ايکيزدره ,Nahiye (1868)#Nahiye (1924)#Kaza (1945)#MerkezRizeTrabzon vilâyeti#MerkezRize#Rize,#,,
İKİZÖREN (Babsa) ,ايکيز اورن ,Nahiye YapraklıÇankırı#
İKLİM-İ BELÂNE maa VADİ-İ YEBRUD, اقليم بلانه مع وادیء يبرود ,Kaza (16.yy.)#Kaza (1660)#ŞamŞam eyâleti#Cebel-i Dürz.Sayda eyâleti#
İKLİM-İ HARUB ,اقليم خروب ,Kaza (1856)#Nahiye (1861)#Cebel-i Dürz.Sayda eyâleti#ŞufCebelilübnan sancağı#
İKLİM-İ SUDAN (Daha sonra adı “Sudan-ı Mısrî” olmuştur.) ,اقليم سودان ,Sancak (1855) Mısır eyâleti#
İKLİMÜ’T-TUFFAH ,اقليم التفاح ,Kaza (1856)#Nahiye (1861)#Cebeli Dürz.Sayda eyâleti#CezinCebelilübnan sancağı#
İKLİMÜ’Z-ZEBÎD ,اقليم الزبيد ,Nahiye (1517) ŞamArap vilâyeti#
İLAC (Ulac) ,علاج ,Kaza (1779) DivaniyeBağdad maa Şehrizor eyâleti#
İLAKO ,ايلاقو ,Kaza (1846) TırnoviVidin eyâleti#
İLBEYLİ (Menşurlu) ,ايلبکلو ,Kaza (Lağvedilmiş.#Menşurlu halen Merkez ilçe#Kayadibi bucağına bağlı#köy.)#SivasSivas eyâleti#
İLFO maa BÜKREŞ ,ايلفو مع بکرش ,Kaza (1562) Büyük EflâkEflâk eyâleti#
İLGAVARA-HURMATO ,ايلغواره خورماتو ,Nahiye (Aynı bölgede bir de#“Tuzhurmato” var.#MerkezSüleymaniyeMusul vilâyeti#
İLİÇ ,ايليچ ,Nahiye (1877)#Nahiye (1924)#Kaza (1938’de Kuruçay#kazası “İliç”e taşınarak...)#KemaliyeMalatyaMam.retülaziz vilâyeti#KemaliyeMalatya#Erzincan,#,,
İLUH ,ايلوح ,Köy#Nahiye (1937)#Kaza Mrk.(1957)#Vilâyet Mrk. (İluh halen#Batman’ın bir mahallesidir.)#MerkezBeşiriSiirt#BeşiriSiirt#BatmanSiirt#Batman#
İLYAKİ (Tilos) ,الياکی ,Nahiye (1867)#Nahiye (1948)#SömbekiRodosC.Bahrisefid vilâyeti#SömbekiRodosYunanistan#
İLYASBEY ,الياس بک ,Nahiye Mrk. YarhisarMerkezBilecik#
İMADİYE ,عماديه ,Sancak (1830)#Kaza (1855)#Kaza (1888)#Bağdad eyâleti#MusulVan eyâleti#HakkâriVan vilâyeti#
İMAMDUR ve CÜBEYL ve ZEBİD) ,امام دور وَجبيل وَزبيد ,Kaza (1855) SamarraBağdad maa Şehrizor eyâleti#
İMAMLAR ,اماملر ,Nahiye Mrk.#Nahiye Mrk. (2000)#GölyakaDüzceBolu#GölyakaDüzce#
İMAMOĞLU ,امام اوغلی ,Nahiye#Kaza (1996) (Eski “Sırkıntı”#nahiyesinden bağlanan#köylerle.)#KozanAdana#Adana#
İMBÂBA ,امبابه ,Nahiye (19.yy.) BuhayraMısır eyâleti#
İmerhev (MEYDANCIK) ,ايمه رخاو ,Sancak (1530)#Nahiye (1924)#Çıldır eyâleti#ŞavşatArtvin#
İMRALI (Emiralı) ,امرالی ,Kaza (1841)#Nahiye (1867)#Ada (Halen üzerinde yalnız#tarım işletmeli yarıaçık#cezaevi var.)#ErdekHudavendigâr eyâleti#MudanyaBursaHudavendigâr vilâyeti#MudanyaBursa#
İMRANLI (Çit) Hamidâbâd) (Umraniye) ,عمرانلی ,Nahiye (1911)#Nahiye (1924)#Kaza (1948)#ZaraSivasSivas vilâyeti#ZaraSivas#Sivas,#,,
İMROZ (Panaya) ,امروز ,Kaza (1867)#Kaza (1924)#LimniCezayir-i Bahrisefid vilâyeti#Çanakkale#
İMRUN ,امرون ,Kaza merkezi PütürgeMalatya#
İnalluballu (KIZILIRMAK) (Kethudalı) ,ايناللوباللی ,Kaza (1846)#Nahiye (1889)#Nahiye (1924)#Nahiye#Kaza (1990)#KengırıBozok eyâleti#KalecikAnkaraAnkara vilâyeti#KalecikAnkara#MerkezÇankırı#Çankırı#
İnceağrı (Bileke-i İnceağrı) (HASDERE) ,اينجه آغری ,Nahiye (17.yy.)#Köy#SelentiİçilKaraman eyâleti#MerkezGazipaşaAntalya#
İNCEĞİZ ,اينجکز ,Kasaba#Köy#MerkezÇatalcaİstanbul#MerkezÇatalcaİstanbul#
İNCESU ,اينجه صو ,Kaza (1867)#Kaza (1924)#KayseriAnkara vilâyeti#Kayseri#
İNCİRAN ,انجران ,Sancak (1800) Şehrizor eyâleti#
İNCİRLİ (Misiros) ,انجرلی ,Nahiye (ada)#Nahiye (1948)#İstanköyRodosC.Bahrisefid#İstanköyRodosYunanistan#
İNCİRLİOVA (Karapınar) ,انجرلی اووه ,Nahiye (1867)#Nahiye (1924)#MerkezAydınAydın vilâyeti#MerkezAydın#
İNCİRLİPAZARI ,انجرلی پازاری ,Nahiye (1871)#(Lağvedilmiş.)#MerkezBurdurKonya vilâyeti#
İNDİRÜK ,اينديروک ,Nahiye (1881) MerkezDıracİşkodra#
İne (KUŞADASI) ,اينه ,Nahiye (1530)#Kaza (16.yy.)#Kaza (1867)#Kaza (1924)#AyasluğAydınAnadolu eyâleti#SığlaKaptanpaşa eyâleti#İzmirAydın vilâyeti#Aydın,#,,
İneâbâd (GERMENCİK) ,اينه آباد ,Kaza (16.yy.)#Nahiye (1867)#Kaza (1948)#SığlaKaptanpaşa eyâleti#MerkezAydınAydın vilâyeti#Aydın#
İNEBAHTI (Navpaktos) (Epakhitos) ,اينه بختی ,Sancak (17.yy.)#Sancak (1699)#Sancak (1828)#Mora eyâleti#Kaptanpaşa eyâleti#Yunanistan#
İNEBOLU ,اينه بولی ,Kaza (1841)#Kaza (1865)#Kaza (1924)#KastamonuKastamonu eyâleti#KastamonuKastamonu vilâyeti#Kastamonu#
İnebolu (YAZIKENT) ,اينه بولی ,Kasaba MerkezBozdoğanAydın#
İNECE ,اينه جه ,Nahiye MerkezKırklareli#
İNECİK ,اينه جک ,Kaza (1846)#Nahiye (1865)#Nahiye (1924)#TekfurdağıEdirne eyâleti#MerkezTekfurdağıEdirne vilâyeti#MerkezTekirdağ#
İNEGÖL ,اينه کول ,Kaza (1530)#Kaza (1867)#Kaza (1926)#HudavendigârAnadolu eyâleti#ErtuğrulHudavendigâr vilâyeti#Bursa#
İnegöl (SARIGÖL) ,اينه کول ,Nahiye (1530)#Nahiye (1867)#Kaza (1957)#AlaşehirAydınAnadolu eyâleti#AlaşehirSaruhanAydın vilâyeti#Manisa#
İNEKOLLAR ,اينه قوللر ,Nahiye merkezi GökçedağDursunbeyBalıkesir#
İNEVİ ,اين اوی ,Kaza merkezi#Kaza merkezi (1926)#EsbkeşanKonyaKonya vilâyeti#CihanbeyliKonya#
İNHİSAR ,اين حصار ,Nahiye#Kaza (1990)#SöğütBilecik#Bilecik,#,,
İNÖNÜ ,اين اوگی ,Kaza (1393)#Kaza (1841)#Nahiye (1883)#Nahiye (1963)#Kaza (1990)#Sultan.nüAnadolu eyâleti#KütahyaHudavendigâr eyâleti#SöğütErtuğrulHudavendigâr vilâyeti#MerkezEskişehir#Eskişehir#
İnöz (ENEZ) ,اين اوز ,Kaza (1865)#Nahiye (1924)#Kaza (1935)#DedeağaçEdirne vilâyeti#KeşanEdirne#Edirne#
İNÖZ ,اين اوز ,Nahiye (1865)#Köy#LâdikAmasyaSivas vilâyeti#MerkezLâdikSamsun#
İNSUYU ,اين صويی ,Nahiye#Köy#MerkezKonyaKaraman eyâleti#MerkezCihanbeyliKonya#
İNTEPE (Erenköy) ,اين تپه ,Nahiye MerkezÇanakkale#
İPEK (Peç) ,ايپک ,Sancak (1881)#Sancak (1913)#Kosova#Yugoslavya#
İPSALA ,ايپصاله ,Kaza (1846)#Nahiye (1865)#Nahiye (1924)#Kaza (1928)#GeliboluEdirne eyâleti#SofuluDedeağaçEdirne vilâyeti#KeşanEdirne#Edirne#
İPSARA (Psara) ,ايپصاره ,Kaza (1867)#Kaza (1913)#SakızCezayir-i Bahr-i Sefid vilâyeti#SakızYunanistan#
İpsile (DOĞANŞAR) ,ايپسيله ,Nahiye Mrk.#Nahiye (1924)#TozanlıHafikSivasSivas vilâyeti#HafikSivas#
İRBİD ,اربد ,Kaza Mrk. AclunHavranSuriye vilâyeti#
İresi (DALLIBAHÇE) ,ايره سی ,Nahiye (1877)#Nahiye (1926)#Nahiye (1936)#NazımiyeDersimMam.retülaziz vilâyeti#NazımiyeErzincan#NazımiyeTunceli#
İringil (GÖZELİ) ,ايرينکيل ,Nahiye#Nahiye (1936)#MerkezMam.retülazizMam.retülaziz vilayeti.#SivriceElâzığ,#,,
İrle (YEŞİLOVA) (Satırlar) ,ايرله ,Kaza (1530)#Nahiye (1888)#Nahiye (1924)#Kaza (1936)#HamidAnadolu eyâleti#GarbikaraağaçDenizliAydın vilâyeti#AcıpayamDenizli#Burdur#
İRMİYE (Armyro) ,ارميه ,Kaza (1867)#Kaza (1881)#TırhalaYanya vilâyeti#TırhalaYunanistan#
İRSÜ (Eressos) ,ايرسو ,Kasaba MidilliCezayir-i Bahr-i Sefid vilâyeti#
İSAKÇI (Isaccea) ,ايساقجی ,Kaza#Sancak (1850)#Kasaba#TulcaSilistre eyâleti#Silistre eyâleti#DobrucaRomanya#
İSCEHİSAR (Eskikarahisar) (Antik “Sinade” şehrinin harabeleri üzerinde kuruldu.) ,اسجه حصار ,Köy#Nahiye#Kaza (1990)#MerkezMerkezK.HisarısahibHudavendigâr#eyâleti#MerkezAfyon#Afyon#
İSFAKYA (Sfakion) (Sultaniye) ,اسفاکيه ,Sancak (1857)#Kaza (1870)#Kaza (1913)#Girit eyâleti#HanyaGirit vilâyeti#Yunanistan#
İshaklı (SULTANDAĞI) ,اسحاقلو ,Kaza (1530)#Nahiye (1864)#Nahiye (1924)#Kaza (1958)#AkşehirKaraman eyâleti#BolvadinK. HisarısahibHudavendigâr#BolvadinAfyon#Afyonkarahisar#
İshaklu (İSHAKLAR) ,اسحاقلو ,Nahiye (17.yy.)#Köy#GülnarİçilKaraman eyâleti#Gülnarİçel#
İskanbo (ORMANBAĞI) (1938’de Nahiye Bombat k.yüne nakledilerek “Cevizlik” adını aldı.) ,اسقانبو ,Nahiye (1880)#Nahiye (1924)#Köy (1938)#ŞirvanSiirtBitlis vilâyeti#ŞirvanSiirt#MerkezŞirvanSiirt#
İSKARAPAR (Güneyberat) (Gostaniçka) ,اسقراپار ,Kaza (1867)#Kaza (1913)#BeratYanya vilâyeti#BeratYunanistan#
İSKEÇE (Kanthi) ,اسکچه ,Kaza (1865)#Kaza (1919)#GümülcineEdirne vilâyeti#GümülcineYunanistan,#,,
İskefiye (ÇARŞIBAŞI) ,اسکفيه ,Nahiye#Kaza (1996)#VakıfkebirTrabzon#Trabzon#
İskefsir (REŞADİYE) ,اسکفسر ,Nahiye (1530)#Kaza (1846)#Nahiye (1865)#Kaza (1906)#Kaza (1924)#KoyulhisarK.Hisarı ŞarkîRum eyâleti#Karahisar-ı ŞarkîTrabzon eyâleti#HamidiyeK.HisarıŞarkîSivas vilâyeti#TokatSivas vilâyeti#Tokat#
İskele ,اسکله ,Nahiye MerkezTrablusşamBeyrut#
İskele ,اسکله ,Kaza Mrk. (1957) KarataşAdana#
İskele ,اسکله ,Vilâyet (O zamanlarda#nahiye statüsündedir.)#ArhaviTrabzonRum eyâleti#
İskele ,اسکله ,Nahiye Mrk.#Kaza Mrk. (1990)#AydıncıkGülnarİçel#Aydıncıkİçel#
İSKENDERİYE ,اسکندريه ,Sancak (1588)#Kaza (1876)#Muhafızlık#Cezayir-i Bahr-i Sefid eyâleti#BuhayraMısır eyâleti#Mısır#
İskenderiye (İŞKODRA) ,اسکندريه ,Sancak (1479)#Vilâyet (1881)#Vilâyet (1913)#Rumeli eyâleti#İşkodra#Arnavutluk#
İSKENDERİYE ,اسکندريه ,Kaza BağdadBağdad maa Şehrizor eyâleti#
İSKENDERUN (Alexandrette) ,اسکندرون ,Nahiye (1517)#Kaza (1851)#Kaza (1869)#Kaza (1939)#HalepArap vilâyeti#BelenAdana eyâleti#HalepHalep vilâyeti#Hatay#
İSKİLİP ,اسکليب ,Kaza (1530)#Kaza (1847)#Kaza (1864)#Kaza (1894)#Kaza (1924)#ÇorumRum eyâleti#Amasya-ÇorumSivas eyâleti#KengırıKastamonu eyâleti#ÇorumAnkara vilâyeti#Çorum,#,,
İSKİRO (Scyro) ,اسيکرو ,Ada (Ağrıboz’un#kuzeydoğusunda.)#Yunanistan#
İSKİYATOS (Skiathos) ,اسکياتوس ,Ada (Ağrıboz’un#Kuzeyinde.)#Yunanistan#
İSKOVİLE (Vakıf) ,اسقويله ,Kaza Mrk. (1866) AkhisarTravnikBosna#
İSLÂHİYE (Bir kısım aşiretin 1865’te Fırka-i İslâhiye tarafından “Nigolu” kalesi civarında yerleştirilmesiyle kuruldu.) ,اصلاحيه ,Kaza (1865)#Kaza (1877)#Kaza (1923)#Kaza (1933)#MaraşHalep vilâyeti#CebelibereketAdana vilâyeti#Cebelibereket vilâyeti#Gaziantep#
İSLÂHİYE ,اصلاحيه ,Nahiye (1867) ŞamiyeDivaniyeBağdad vilâyeti#
İSLÂM (Halen Banaz’ın bir mahallesidir.) ,اسلام ,Nahiye Mrk.#Kaza Mrk. (1953)#BanazUşakKütahya#BanazUşak#
İSLÂMLU ,اسلاملو ,Nahiye (17.yy.) MerkezKayseriKaraman eyâleti#
İSLİMİYE (Sliven) ,اسليميه ,Sancak (1846)#Sancak (1854)#Sancak (1878)#Vilâyet (1908)#Vidin eyâleti#Edirne eyâleti#Rumeli-i Şarkî vilâyeti#Bulgaristan#
İSMAİLİYE ,اسماعيليه ,Muhafızlık Mısır eyâleti#
İsmetpaşa (Çırmıktı) (YEŞİLYURT) ,عصمت پاشا ,Köy#Kasaba#Kaza (1957)#MerkezMalatyaMalatya#MerkezMalatya#Malatya#
İSMİLÂN ,اسميلان ,Nahiye (1865)#Nahiye#AhiçelebiGümülcineEdirne vilâyeti#AhiçelebiGümülcineYunanistan#
İSMİLO ,اسميلو ,Nahiye (1919) MerkezManastırManastır vilâyeti#
İSNA ,اسنا ,Sancak (19.yy.)#Kaza#Müdüriyet#Mısır eyâleti#AsvanMısır eyâleti#Mısır Hidiviyeti,#,,
İspayrıt (Uçum) (SÜRÜCÜLER) ,اسپايرت ,Sancak (17.yy.)#Köy#Van eyâleti#SağınlıHizanBitlis#
İSPEÇE (Spetzia) ,اسپچه ,Ada (Mora sahilinde.) Yunanistan#
İspendere (ÇOLAKLI) ,اسپندره ,Nahiye (1877)#Nahiye (1924)#MerkezMalatyaMam.retülaziz vilâyeti#MerkezMalatya#
İSPİR ,اسپير ,Nahiye (1516)#Kaza (1520)#Sancak (1535)#Kaza (1548)#Sancak (17.yy.)#Kaza (1865)#Kaza (1924)#BayburtBayburtRum eyâleti#BayburtDiyarbakır eyâleti#Erzurum eyâleti#BayburtErzurum eyâleti#Çıldır eyâleti#Erzurum vilâyeti#Erzurum#
İSPİRO maa POTAM ,اسپرو مع پوتام ,Kaza (1856)#Kaza (1881)#TırhalaSelânik eyâleti#Yunanistan#
İSPORADA (Sporades) ,اسپوراده ,"Ada (Dağınık anlamında:#Karyot, Batnoz, Leryos,#Kalimnos, İstanköy,#Osturpalya, Herkit, İncir,#İlyaki, Kerpe ve Kaşot#adaları topluluğuna verilen#ortak ad.)#RodosCezayir-i Bahr-i Sefid#"
İSRAVALOS (Bodrum’un Ortakent ve Karaova nahiyeleri buraya bağlı idi.) ,اسراولوس ,Kaza (1530) MenteşeAnadolu eyâleti#
İSTANBUL (Fethi müteakip başkent oldu. 1826’ya kadar kadılar tarafından yönetildi. 1870’te Zabtiye müşirine vali yetkisi verildi. Şehremâneti döneminde (10) adet belediye dairesiyle yönetildi. Şehremâneti şehrin yönetimini 1922’ye kadar valilikle birlikte yürütmüş ve aralarında zaman zaman yetki kargaşası da yaşanmış). ,استانبول ,"Başkent (1453)#Başkent (1826)#Başkent (1828)#Başkent (1846)#Başkent, vilâyet (1878)#Başkent, vilâyet (1909)#Yeniden vilâyet (1924)#İstanbul Rumeli eyâleti#İhtisap Nezareti#Seraskerlik#Zabtiye Müşiriyeti#Şehremâneti#İstanbul vilâyeti#İstanbul vilâyeti",#,,
İSTANBUL ,استانبول ,Kaza (1876) İsfakyaGirit vilâyeti#
İSTANBUL (Eski İstanbul) ,استانبول ,Köy (Etrafında alexandria#Truas antik kenti varmış.#İstanbul burada bir liman#şehri imiş.)#AyvacıkÇanakkale#
İSTANİMAKA (Asenovgrad) ,استانيماقه ,Kaza (1878)#Kaza (1908)#FilibeBulgaristan eyâleti#FilibeBulgaristan#
İSTANKÖY (Ko) ,استانکوی ,Sancak (17.yy.)#Kaza (1867)#Kaza#Cezayir-i Bahr-i Sefid eyâleti#RodosC.Bahr-i Sefid vilâyeti#Yunanistan#
İstanos (Kasaba) (Zir) (YENİKENT) ,استانوس ,Nahiye (1530)#Kaza (1841)#Kaza (1849)#Kaza (1867)#Kaza (1924)#Nahiye (1926)#Nahiye (1957)#Nahiye (1990)#AnkaraAnkaraAnadolu eyâleti#AnkaraAnkara eyâleti#AnkaraBozok eyâleti#AnkaraAnkara vilâyeti#Ankara#MerkezAnkara#YenimahalleAnkara#SincanAnkara#
İstanos (KORKUTELİ) ,استانوس ,Nahiye (1530)#Kaza (1914)#Kaza (1924)#MerkezTekeAnadolu eyâleti#Teke sancağı#Antalya#
İSTARÇESTE ,استارچسته ,Nahiye (1867) NevrekopSirozSelânik vilâyeti#
İSTAROVA (Starova) ,استارووه ,Kaza GöriceManastır#
İSTAVROZ (Stavroz) ,استاوروز ,Kasaba KsendireSelânikYunanistan#
İstefan (AYANCIK) ,استفان ,Kaza (1841)#Kaza (1924)#SinopKastamonu vilâyeti#Sinop,#,,
İSTENİÇE ,استنيچه ,Kaza (1846) BeratYanya eyâleti#
İstilil (AKARSU) ,استليل ,Nahiye NusaybinMardin#
İstiranca (BİNKILIÇ) ,استرانجه ,Nahiye (1926)#Köy#Çatalcaİstanbul#MerkezÇatalcaİstanbul#
İSTİYE (Avine) ,استيه ,Kaza (1867)#Kaza (1913)#LaşidGirit vilâyeti#LaşidGiritYunanistan#
İSTOK ,ايستوق ,Nahiye (1877) MerkezİpekKosova#
İSTOLNİ ,استولنی ,Sancak (1568)#Sancak (1686)#Budin eyâleti#Macaristan#
İSTOLNİBELGRAD (Szekesfehervar) ,استولنی بلغراد ,Sancak (1543)#Sancak (1688)#Budin eyâleti#Macaristan#
İSTOLOÇA (Stolac) ,استولوچه ,Kaza (1866)#Kaza#HersekBosna vilâyeti#Bosna-Hersek#
İSTOLVEİSEMBURG (Stuhiweissemburg) (SEKTUVAR) ,استولوايسمبورغ ,Sancak Macaristan#
İSTOPALYA ,استوپاليا ,Kaza (1888)#Kaza (1912)#Kaza (1948)#RodosC.Bahrisefid eyâleti#İtalya yönetimi#RodosYunanistan#
İSTRİYA (İstra) (Adriyatik sahilinde.) ,استريا ,Eyâlet Avusturya-Macaristan#
İŞİM ,ايشم ,Nahiye (1881) ŞayakDıraçİskodra vilâyeti#
İŞKOBLOS (Scopelos) ,اشکبلوس ,Ada AğrıbozYunanistan,#,,
İŞKODRA (Shkoder) (İskenderiye) ,اشقودره ,Sancak (1479)#Eyâlet (1862)#Vilâyet (1875)#Eyâlet (1877)#Vilâyet (1881)#Vilâyet (1913)#Rumeli eyâleti#İşkodra eyâleti#İşkodra vilâyeti#İşkodra eyâleti#İşkodra vilâyeti#Arnavutluk#
İŞLENKÖY (Sölyomkö) ,اشلنکوی ,Sancak (1660)#Sancak#Varad eyâleti#Romanya#
İŞTİB (Stip) ,اشتيب ,Kaza .skübKosova#
ÎTİ’L-ERBAA ,ايت الاربع ,Kasaba (Cercera dağında iki#adet kasaba.#Cezayir eyâleti#
İTLİB ,عتليب ,Kaza (1614) AkkaSayda eyâleti#
İVRİNDİ ,ايورندی ,Kaza (1530)#Nahiye (1867)#Kaza (1944)#KaresiAnadolu eyâleti#MerkezKaresiHudavendigâr vilâyeti#Balıkesir#
İYÂL-İ SERİH ,عيال سريح ,Nahiye (1871) UmranYemen vilâyeti#
İYECİK maa ÜRGÜB ,ايه جک مع اورکوب ,Kaza(16.yy.) NiğdeKaraman eyâleti#
İYİDERE ,ايودره ,Nahiye#Kaza ( 1990)#MerkezRize#Rize#
İZGAR ,ازغار ,Nahiye (1865)#Köy#MalkaraTekfurdağıEdirne vilâyeti#MerkezMalkaraTekirdağ#
İZLADİ (Slatitza) ,ايزلادی ,Kasaba (1855)#Kasaba (1908)#SofyaNiş eyâleti#SofyaBulgaristan#
İZLOCZON ,ازلوقزون ,Sancak (Galiçya bölgesinde) Avusturya,#,,
İZMİR ,ازمير ,Kaza (1530)#Sancak Mrk. (18.yy.)#Sancak (1841)#Eyâlet Mrk. (1850)#Vilâyet Mrk. (1867)#Vilâyet (1924)#AydınAnadolu eyâleti#SığlaKaptanpaşa eyâleti#Aydın eyâleti#Aydın eyâleti#Aydın vilâyeti#İzmir#
İZMİT (İznikmid) ,ازميد ,Kaza (1530)#Sancak (16.yy.)#Sancak (1855)#Sancak (1878)#Vilâyet Mrk. (1924)#KocaeliAnadolu eyâleti#Kaptanpaşa eyâleti#Hudavendigâr vilâyeti#Şehremâneti#Kocaeli#
İZNİK ,ازنيق ,Kaza (1530)#Nahiye (1867)#Kaza (1930)#KocaeliAnadolu eyâleti#YenişehirErtuğrulHudavendigâr vilâyeti#Bursa#
İZNOPOL ,ايزنوپول ,Sancak (1878) Bulgaristan eyâleti#
İzolu (KUŞSARAYI) (Bekirhüseyin) ,ايزولی ,Nahiye (1877)#Nahiye (1926)#MerkezHarputMam.retülaziz vilâyeti#BaskilElâzığ#
İZVOR ,ايزوور ,Nahiye (1867) KsendireSelânikSelânik vilâyeti#
İZVORNİK (Zvornik) (Tuzla-i Zîr) ,ايزوورنيک ,Sancak (1480)#Sancak (1540)#Sancak (1580)#Sancak (1866)#Sancak (1878)#Sancak (1920)#Sancak#Rumeli eyâleti#Budin eyâleti#Bosna eyâleti#Bosna vilâyeti#Avusturya-Macaristan yönetimi#Yugoslavya#Bosna-Hersek
