İdârî Birimin Yeni Harflerle Adı 1	İdârî Birimin Yeni Harflerle Adı 2	İdârî Birimin Yeni Harflerle Adı 3	İdârî Birimin Yeni Harflerle Adı 4	İdârî Birimin Yeni Harflerle Adı 5	İdârî Birimin Yeni Harflerle Adı note	Eski Harflerle Adı	Unvan 1	Unvan 1 year	Unvan 1 note	Bagli 1 4	Bagli 1 3	Bagli 1 2	Bagli 1 1	Unvan 2	Unvan 2 year	Unvan 2 note	Bagli 2 4	Bagli 2 3	Bagli 2 2	Bagli 2 1	Unvan 3	Unvan 3 year	Unvan 3 note	Bagli 3 4	Bagli 3 3	Bagli 3 2	Bagli 3 1	Unvan 4	Unvan 4 year	Unvan 4 note	Bagli 4 3	Bagli 4 2	Bagli 4 1	Unvan 5	Unvan 5 year	Unvan 5 note	Bagli 5 3	Bagli 5 2	Bagli 5 1	Unvan 6	Unvan 6 year	Unvan 6 note	Bagli 6 2	Bagli 6 1	Unvan 7	Unvan 7 year	Unvan 7 note	Bagli 7 2	Bagli 7 1	Unvan 8	Unvan 8 year	Unvan 8 note	Bagli 8 2	Bagli 8 1	Unvan 9	Unvan 9 year	Bagli 9 3	Bagli 9 2	Bagli 9 1	Unvan 10	Unvani 10 year	Bagli 10 2	Bagli 10 1	Unvan 11	Unvani 11 year	Bagli 11 2	Bagli 11 1	Unvan 12	Bagli 12	Unvan 13	Bagli 13	Unvan 14	Unvan 14 year	Bagli 14
KÜÇÜKDERE	Kü.ükgorgor					کوچک دره	Köy				Karadere	Sürmene	Trabzon	Nahiye					Sürmene	Trabzon																																																						
KÜÇÜKKAYNARCA						کوچک قينارجه	Köy		Dobruca’da Silistre kentinin güney doğusundadır. Ruslarla 1774 Kü.ükkaynarca Antlaşması burada yapıldı.			Silistre	Bulgaristan																																																													
KÜÇÜKKUYU						کوچک قيو	Nahiye	1924				Ezine	Çanakkale	Nahiye	1928				Ayvacık	Çanakkale																																																						
KÜÇÜKSU	Kotum					کوچک صو	Nahiye					Tatvan	Bitlis																																																													
KÜÇÜKVİRAN						کوچک ويران	Nahiye	1865			Eğridere	Gümülcine	Edirne vilâyeti	Nahiye	1919			Eğridere	Gümülcine	Yunanistan																																																						
KÜFE						کوفه	Nahiye	1867			Necef	Kerbelâ	Bağdad vilâyeti																																																													
KÜFRE						کفره	Kaza merkezi	1884			Şirvan	Siirt	Bitlis vilâyeti	Kaza merkezi	1924				Şirvan	Siirt																																																						
KÜMEYT						کميت	Nahiye	1830			İmadiye	İmadiye	Bağdad eyâleti																																																													
KÜPLÜ						کوپلی	Nahiye	1867			Merkez	Ertuğrul	Hudavendigâr	Nahiye	1924				Merkez	Bilecik																																																						
KÜPLÜ						کوپلی	Nahiye					Meriç	Edirne																																																													
KÜRD						کورد	Nahiye	~1530			Merkez	Teke	Anadolu eyâleti																																																													
KÜRDELAN maa ŞAT						کردلان مع شاط	Kaza	1849				Basra	Bağdad maa Şehrizor eyâleti																																																													
KÜRDEŞE						کورتشه	Nahiye merkezi	1924			Kuzyaka	Merkez	Kastamonu																																																													
Kürdi	Herki	MEŞELİK				کردی	Nahiye	1882			Şemdinan	Hakkâri	Van vilâyeti	Köy				Merkez	Şemdinli	Hakkâri																																																						
KÜRDİ maa ÇINARE						کردی مع چناره	Nahiye	~1830			Köysancak	Kerkük	Bağdad maa Şehrizor eyâleti																																																													
KÜRE	Küre-i nühas	Bakırküresi			Bölgede bulunan “Küre-i hadid” gibi diğer kürelerden ayırmak için (Küre-i nühas” veya “Bakırküresi” adları verilmiştir.)	کوره	Nahiye	~1530			İnebolu	Kastamonu	Kastamonu eyâleti	Kaza	1841				Kastamonu	Kastamonu eyâleti	Kaza	1865				Kastamonu	Kastamonu vilâyeti	Nahiye				Kastamonu	Kastamonu vilâyeti	Kaza	1926				Kastamonu																																			
KÜRE						کوره	Kaza	1856				Cebel-i Lübnan	Sayda eyâleti	Kaza	1861					Cebel-i Lübnan sancağı																																																						
KÜRE						کوره	Kaza	1847				Trablusşam	Sayda eyâleti																																																													
KÜRE						کوره	Nahiye	1865			Aclun	Havran	Suriye vilâyeti																																																													
KÜRECİK	Kepez					کوره جک	Nahiye					Akçadağ	Malatya																																																													
Küre-i Hadîd	DEMİRLİ					کورهء حديد	Kaza	1841				Kastamonu	Kastamonu eyâleti	Köy				İğdir	Araç	Kastamonu																																																						
KÜRE-İ ŞİMALİYE						کورهء شماليه	Nahiye	1861				Zahle	Cebel-i Lübnan sancağı																																																													
KÜRE-İ VÜSTA						کورهء وسطی	Nahiye	1861				Zahle	Cebel-i Lübnan sancağı																																																													
KÜRE-İ YENİŞEHİR						کورهء يکی شهر	Kaza	1811				Denizli	Aydın eyâleti																																																													
KÜRKÇÜ						کورکجی	Nahiye merkezi				Sarıkavak	Mut	İçel																																																													
KÜRTÜN	Cayra	Uluköy			Yeni merkezi “Uluköy”dür. Eski merkez olan Cayra “.zkürtün” adıyla ayrı bir kasaba oldu.	کورتون	Kaza	~1530				Trabzon	Rum eyâleti	Kaza	17. yy.				Gümüşhane	Trabzon eyâleti	Nahiye	1868			Torul	Gümüşhane	Trabzon vilâyeti	Nahiye	1924			Torul	Gümüşhane	Kaza	~1990				Gümüşhane																																			
KÜŞAF						کشاف	Sancak	17. yy.					Şehrizor eyâleti																																																													
KÜTAHYA	Germiyan					کوتاهيه	Sancak	1429					Anadolu eyâleti	Eyâlet merkezi	1461					Anadolu eyâleti	Sancak	1842					Hudavendigâr eyâleti	Sancak	1867				Hudavendigâr vilâyeti	Müstakil sancak	1918				Kütahya sancağı	Vilâyet	1924			Kütahya																														
KÜTÜLAMÂRE						کوة العماره	Kaza	1855				Bedre	Bağdad maa Şehrizor eyâleti	Kaza					Bağdad	Irak																																																						
KÜTÜLHAYY						کوة الحی	Kaza merkezi	1884			Hayy	Müntefik	Basra vilâyeti																																																													
KYAROS						کياروس	Ada					Kiklade	Yunanistan																																																													
LÂÇİN	Büyükl..in					لاچين	Nahiye	1935				Merkez	Çorum	Kaza	~1990					Çorum																																																						
LÂDİK						لاديق	Kaza	~1530				Amasya	Rum eyâleti	Kaza	1847				Amasya-Çorum	Sivas eyâleti	Kaza	1865				Amasya	Sivas vilâyeti	Kaza	1925				Samsun																																									
Lâdik	GÖKÇELİ	Gökçeyazı				لاديق	Kaza	1847				Amasya-Çorum	Sivas eyâleti	Nahiye	1865			Niksar	Tokat	Sivas vilâyeti	Nahiye	1924				Niksar	Tokat																																															
Lâdik	Y.rükan-ı Lâdik	HALICI				لاديق	Nahiye	16. yy.			Saidili	Konya	Karaman eyâleti	Kasaba					Sarayönü	Konya																																																						
Lafsor	KIŞLAKÖY					لافصور	Köy				Pitkir	Oltu	Erzurum	Nahiye					Narman	Erzurum																																																						
Lagus	GÜZLE					لاغوس	Nahiye	1865			Hamidiye	Karahisar-ı Şarkî	Sivas vilâyeti	Köy				Merkez	Mesudiye	Ordu																																																						
Lahan	BAŞYURT	Aşağılahan				لخان	Nahiye	1936				Karakoçan	Elâzığ																																																													
LAHEÇ						لحچ	Kasaba					Aden	Yemen																																																													
LAKONYA	Isparta					لاقونيه	Eyâlet						Yunanistan																																																													
LALAPAŞA	Lahnepaşa					لالاپاشا	Nahiye	~1910				Merkez	Edirne	Kaza	1945					Edirne																																																						
LÂLELİ						لاله لی	Nahiye merkezi				Bolaman	Fatsa	Ordu																																																													
LÂLELİ maa BEYCELİ						لاله لی مع بکجه لی	Nahiye merkezi					İkizce	Ordu																																																													
LAMYA	Zeytün					لاميا	Eyâlet merkezi						Fityotide maa Fokide eyâleti	Eyâlet merkezi						Yunanistan																																																						
LANKAZA	Lankadas					لنقظه	Kaza	1867				Selânik	Selânik vilâyeti	Kaza	1913					Yunanistan																																																						
LAPDOS maa POGONYA						لاپدوس مع پوغونيه	Kaza	1846				Ergiri	Yanya eyâleti	Kaza	1923				Ergiri	Arnavutluk																																																						
LÂPSEKİ						لاپسکی	Kaza	~1530				Biga	Anadolu eyâleti	Kaza	1886					Biga sancağı	Kaza	1924					Çanakkale																																															
LÂRENDE						لارنده	Sancak merkezi	1514				Karaman	Karaman eyâleti	Kaza merkezi	1867			Karaman	Konya	Konya vilâyeti	Kaza merkezi	1924				Karaman	Konya	Vilâyet merkezi	1989				Karaman																																									
LARİSSA	Yenişehir					لاريسه	Eyâlet merkezi	1854					Tırhala eyâleti	Kaza	1867				Tırhala	Yanya vilâyeti	Kaza	1878	Berlin muahadesiyle Yunanistan’a bırakıldı.				Yunanistan																																															
LARNAKA	Tuzla					لارنقه	Kasaba						Kıbrıs																																																													
LAŞİD	Lassithi	Yenişehir				لاشيد	Sancak	18. yy.					Girit eyâleti	Kaza	1850				Kandiye	Girit eyâleti	Sancak	1897					Girit vilâyeti	Sancak	1913				Yunanistan																																									
LAZ						لاز	Nahiye	~1530			Arhavi	Trabzon	Rum eyâleti																																																													
LAZİSTAN	Batum, Rize				1923’te Lazistan ili “Rize” oldu	لازستان	Sancak						Trabzon eyâleti	Sancak		İlk merkez 1851-1867 arası Gönye ve Batum, sonra Rize’dir.				Trabzon vilâyeti																																																						
LAZKİYE	Cebele					لازقيه	Nahiye	1517					Arap vilâyeti	Sancak	1847					Sayda eyâleti	Sancak	1865					Suriye vilâyeti	Kaza	1877			Trablusşam	Suriye vilâyeti	Sancak	1888-1912				Beyrut vilâyeti																																			
Lazkiye	Lâdik	DENİZLİ			Antik “Laodikia” adından... Türkler tarafından önceleri Lazkiye ve Lâdik adlarına çevrilmiş daha sonra Denizli denmiştir.	لازقيه	Kaza	~1530				Kütahya	Anadolu eyâleti	Sancak	1826					Aydın eyâleti																																																						
LEBLİZ						لبليز	Sancak	~1600					Van eyâleti																																																													
LECA	Ezra‘					لجا	Nahiye	1865				Havran	Suriye vilâyeti																																																													
LECCUN	Horvat Kefer Otnay					لجون	Sancak	17. yy.					Şam eyâleti	Sancak	1660					Sayda eyâleti	Kaza	~1855				Akka	Sayda eyâleti																																															
LED						لد	Kaza	1856				Kudüs	Sayda eyâleti																																																													
LEFKE						لفکه	Nahiye	1865			Cisr-i Mustafapaşa	Edirne	Edirne vilâyeti	Nahiye	1885			Cisr-i Mustafapaşa	Hasköy	Bulgaristan																																																						
Lefke	OSMANELİ					لفکه	Nahiye	1841			Merkez	Ertuğrul	Hudavendigâr eyâleti	Nahiye	1867			Merkez	Ertuğrul	Hudavendigâr vilâyeti	Kaza	1926					Bilecik																																															
LEFKOŞE						لفقوشه	Eyâlet merkezi	1571					Kıbrıs eyâleti	Sancak	1608					Kaptanpaşa eyâleti	Sancak	1878					İngiltere yönetimi	Başkent	1960				Kıbrıs Cumhuriyeti																																									
LEFTERE						لفتره	Nahiye	1867			Pravişte	Drama	Selânik vilâyeti																																																													
LEHSUN						لهسون	Nahiye	1879			Bazyan	Süleymaniye	Musul vilâyeti																																																													
LEK						لک	Kasaba						Tunus																																																													
LENDOZ						لندوز	Nahiye	1867			Merkez	Rodos	Cezayir-i Bahr-i Sefid vilâyeti																																																													
LERYOZ						لريوز	Kaza	1867				Sakız	Cezayir-i Bahr-i Sefid vilâyeti																																																													
LESİNA						لسينه	Ada		Adriyatik denizinde.				Avusturya-Macaristan																																																													
LESKOFÇA	Leskowetz					لسقوفچه	Kaza	1846				Tırnovi	Vidin eyâleti	Kaza	1885					Bulgaristan																																																						
LESKOVAÇ	Leskowatze					لسقواچ	Kaza		Berlin muahedesiyle Sırbistan’a bırakıldı.			Niş	Sırp eyâleti																																																													
LESKOVİÇE						لسقوويچه	Kaza	1877				Üsküb	Kosova vilâyeti																																																													
LESKOVİK	Liaskowiki					لسقويک	Sancak	1883					Yanya vilâyeti	Kaza	1888				Yanya	Yanya vilâyeti																																																						
LEŞ	Lezhe					لش	Kaza	1881				İşkodra	İşkodra vilâyeti	Kaza		Eski “Dukakin” sancağının yerinde kurulmuştur.				Arnavutluk																																																						
LEVENT						لوند	Kaza merkezi	1846			Akçadağ	Malatya	Harput eyâleti	Nahiye	1884			Akçadağ	Malatya	Mamûretülaziz vilâyeti	Nahiye		1850 yılında kaza Arga’ya taşındı ve Akçadağ adını aldı. 1928’de nahiye merkezi Zakirhacı k.yüdür.			Akçadağ	Malatya																																															
LEYNE						لينه	Nahiye merkezi	1924			Turgut	Merkez	Muğla	Nahiye merkezi	1944			Turgut	Yatağan	Muğla																																																						
LEYS	El-Lis					ليث	Kaza merkezi	1880-1912			Mamuretülhamid	Cidde	Hicaz vilâyeti																																																													
LİCE						ليجه	Kaza	~1871				Diyarbakır	Diyarbakır vilâyeti	Kaza	1924					Diyarbakır																																																						
Liçik	KAYNARPINAR					ليچک	Nahiye	1865			Kiğı	Erzurum	Erzurum vilâyeti	Köy				Çan	Kiğı	Erzincan	Köy				Merkez	Karlıova	Bingöl																																															
LİDİ						ليدی	Takımada		Venedik şehri açıklarında yedi adet ada.				İtalya																																																													
LİF						ليف	Nahiye	1867			Derik	Mardin	Diyarbakır vilâyeti																																																													
LİMASOL	Limasso, Limisso					ليماسول	Kaza						Kıbrıs																																																													
LİMNİ	Limnos					لمنی	Sancak	16. yy.					Cezayir-i Bahr-i Sefid eyâleti	Sancak	1867					Cezayir-i Bahr-i Sefid vilâyeti	Sancak	1913					Yunanistan																																															
LİNDUS	Linde					ليندوس	Köy		antik şehir		Merkez	Rodos	Cezayir-i Bahr-i Sefid vilâyeti																																																													
